City,Time,Temperature,Condition

2022-03-22 06:00:00, 6.39, overcast clouds
2022-03-22 09:00:00, 6.36, overcast clouds
2022-03-22 12:00:00, 6.16, overcast clouds
2022-03-22 15:00:00, 6.73, overcast clouds
2022-03-17 18:00:00, 4.12, broken clouds
2022-03-17 21:00:00, 7.56, overcast clouds
2022-03-18 00:00:00, 9.42, overcast clouds
2022-03-18 03:00:00, 3.92, broken clouds
2022-03-18 06:00:00, 2.3, scattered clouds
2022-03-18 09:00:00, 3.23, overcast clouds
2022-03-18 12:00:00, 2.56, overcast clouds
2022-03-18 15:00:00, 2.25, overcast clouds
2022-03-18 18:00:00, 8.41, overcast clouds
2022-03-18 21:00:00, 11.17, overcast clouds
2022-03-19 00:00:00, 10.5, overcast clouds
2022-03-19 03:00:00, 5.48, overcast clouds
2022-03-19 06:00:00, 3.96, overcast clouds
2022-03-19 09:00:00, 3.72, overcast clouds
2022-03-19 12:00:00, 2.69, overcast clouds
2022-03-19 15:00:00, 3.72, light rain
2022-03-19 18:00:00, 4.22, light rain
2022-03-19 21:00:00, 5.31, light rain
2022-03-20 00:00:00, 8.12, light rain
2022-03-20 03:00:00, 0.92, clear sky
2022-03-20 06:00:00, -1.15, clear sky
2022-03-20 09:00:00, -0.58, clear sky
2022-03-20 12:00:00, -0.46, clear sky
2022-03-20 15:00:00, 0.55, clear sky
2022-03-20 18:00:00, 6.65, few clouds
2022-03-20 21:00:00, 9.39, broken clouds
2022-03-21 00:00:00, 8.25, broken clouds
2022-03-21 03:00:00, 1.7, broken clouds
2022-03-21 06:00:00, 0.74, overcast clouds
2022-03-21 09:00:00, 1.57, overcast clouds
2022-03-21 12:00:00, 1.64, overcast clouds
2022-03-21 15:00:00, 2.56, overcast clouds
2022-03-21 18:00:00, 5.6, overcast clouds
2022-03-21 21:00:00, 9.45, overcast clouds
2022-03-22 00:00:00, 9.89, overcast clouds
2022-03-22 03:00:00, 7.25, overcast clouds
2022-03-22 06:00:00, 6.39, overcast clouds
2022-03-22 09:00:00, 6.36, overcast clouds
2022-03-22 12:00:00, 6.16, overcast clouds
2022-03-22 15:00:00, 6.73, overcast clouds
